no,nama bunga
1,Bunga Adenium.
2,Bunga Aglaonema.
3,Bunga Agapanthus.
4,Bunga Ageratum.
5,Bunga Air Mancur.
6,Bunga Akasia.
7,Bunga Alamanda.
8,Bunga Alstroemeria.
9,Bunga Alyssum.
10,Bunga Amaranthus.
11,Bunga Amaryllis.
12,Bunga Amazon Lily.
13,Bunga Ammi.
14,Bunga Anemone.
15,Bunga Angelonia.
16,Bunga Anggrek.
17,Bunga Anthurrium.
18,Bunga Antirrhinum (Snapdragon).
19,Bunga Anyelir.
20,Bunga Aquilegia.
21,Bunga Asclepias.
22,Bunga Aster.
23,Bunga Astilbe.
24,Bunga Astrantia.
25,Bunga Aubrieta.
26,Bunga Almond.
27,Bunga Azalea.
28,Bunga Baby’s Breath (Gypsophila).
29,Bunga Bee Balm.
30,Bunga Begonia.
31,Bunga bergenia.
32,Bunga Cendrawasih (Bird of Paradise).
33,Bunga Bleeding Heart.
34,Bunga Bluebell.
35,Bunga Bougenville.
36,Bunga Bouvardia
37,Bunga Buddleja.
38,Bunga Calendula.
39,Bunga Calla Lily.
40,Bunga Camelia.
41,Bunga Candytuft.
42,Bunga Celosia.
43,Bunga Clarkia.
44,Bunga Clematis.
45,Bunga Cleome.
46,Bunga Clover.
47,Bunga Coneflower.
48,Bunga Coreopsis.
49,Bunga Cornflower.
50,Bunga Cosmos.
51,Bunga Cyclamen.
52,Bunga Daffodil.
53,Bunga Dahlia.
54,Bunga Daisy.
55,Bunga Dandelion.
56,Bunga Daylily.
57,Bunga Delphinium
58,Bunga Diascia.
59,Bunga Echium.
60,Bunga Evening Primrose.
61,Bunga Euphorbia.
62,Bunga Feverfew.
63,Bunga Forget Me Not.
64,Bunga Foxglove.
65,Bunga Fuschia.
66,Bunga Gaillardia.
67,Bunga Garedenia.
68,Bunga Geranium.
69,Bunga Gerbera.
70,Bunga Gladiol.
71,Bunga Gloxinia.
72,Bunga Kancing (Gomphrena Globosa).
73,Bunga Heliconia.
74,Bunga Hibiscus atau Bunga Kembang Sepatu.
75,Bunga Hollyhock.
76,Bunga Hoya.
77,Bunga Hyacinth.
78,Bunga Hydrangea.
79,Bunga Impatiens atau bunga pacar air.
80,Bunga Iris.
81,Bunga Jacob’s Ladder.
82,Bunga Kalanchoe.
83,Bunga Knautia macedonica.
84,Bunga Kana atau Canna.
85,Bunga Kantil atau Cempaka.
86,Bunga Krisan.
87,Bunga Lady’s Slipper Orchids.
88,Bunga Lantana.
89,Bunga Lavatera.
90,Bunga Lavender.
91,Bunga Lilac.
92,Bunga Lily.
93,Bunga Lisianthus.
94,Bunga Lobelia.
95,Bunga Lotus.
96,Bunga Lupin.
97,Bunga Mandevilla.
98,Bunga Marigold.
99,Bunga mawar.
100,Bunga Melati.
101,Bunga Putri Malu.
102,Bunga Morning Glory.
103,Bunga Muscari.
104,Bunga Mussaenda atau Nusa Indah.
105,Bunga Nasturtium.
106,Bunga Nemesia.
107,Bunga Nemophila.
108,Bunga Nicotiana.
109,Bunga Nigella.
110,Bunga Nona Makan Sirih.
111,Bunga Oleander atau bunga Jepun.
112,Bunga Pansy.
113,Bunga Passion Flower atau bunga Passiflower.
114,Bunga Peony.
115,Bunga Petrea.
116,Bunga Petunia.
117,Bunga Phlox.
118,Bunga Poinsettia.
119,Bunga Poppy.
120,Bunga portulaca.
121,Bunga Pukul Empat.
122,Bunga Quaker Ladies.
123,Bunga Quince.
124,Bunga Rain Lily.
125,Bunga Rununculus hasil persilangan.
126,Bunga Rondeletia.
127,Bunga Ruellia.
128,Bunga Salvia.
129,Bunga Matahari.
130,Bunga Saponaria.
131,Bunga Scabiosa.
132,Bunga Snowdrop.
133,Bunga Soka.
134,Bunga Statice.
135,Bunga Stefanot.
136,Bunga Stock.
137,Bunga Strawflower.
138,Bunga Sweet Pea.
139,Bunga Tabebuia.
140,Bunga Thunbergia.
141,Bunga Tiger Flower.
142,Bunga Triteleia.
143,Bunga Torenia.
144,Bunga Tulip.
145,Bunga Urn Plant.
146,Bunga Uva Ursi.
147,Bunga Verbena.
148,Bunga Vinca atau bunga tapak dara.
149,Bunga Viola.
150,Bunga Violces.
151,Bunga Wallflower.
152,Bunga Weigela.
153,Bunga Wijaya Kusuma.
154,Bunga Yarrow.
155,Bunga Zenobia.
156,Bunga Zinnia.
